#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Temperature (K), Power (K)
8.0884000000e+09, 1.3891320000e-02, -4.8054540000e-02, -2.6016766636e+01, -1.2893932444e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0884500000e+09, 1.2922330000e-02, -4.8715110000e-02, -2.5951408839e+01, -1.3115046054e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0885000000e+09, 1.1705380000e-02, -4.8646030000e-02, -2.6014607041e+01, -1.3346618483e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0885500000e+09, 1.0864830000e-02, -4.9025700000e-02, -2.5983300404e+01, -1.3527061122e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0886000000e+09, 1.0249370000e-02, -4.9135390000e-02, -2.5987138840e+01, -1.3651506890e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0886500000e+09, 8.8640940000e-03, -4.9173900000e-02, -2.6026432749e+01, -1.3924514260e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0887000000e+09, 8.0662800000e-03, -4.9234460000e-02, -2.6039581918e+01, -1.4084049878e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0887500000e+09, 7.2434060000e-03, -4.9567240000e-02, -2.6004338772e+01, -1.4256904837e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0888000000e+09, 5.6627650000e-03, -4.9404580000e-02, -2.6067970576e+01, -1.4566741157e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0888500000e+09, 5.2483090000e-03, -4.9848290000e-02, -2.5999117748e+01, -1.4658971547e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0889000000e+09, 4.0828300000e-03, -4.9395240000e-02, -2.6096727592e+01, -1.4883274519e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0889500000e+09, 3.3371900000e-03, -5.0044910000e-02, -2.5993532600e+01, -1.5042110015e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0890000000e+09, 1.6784370000e-03, -4.9723520000e-02, -2.6063817042e+01, -1.5370537448e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0890500000e+09, 1.5960310000e-03, -4.9896320000e-02, -2.6034188397e+01, -1.5388202813e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0891000000e+09, -9.4773140000e-05, -4.9687640000e-02, -2.6075016807e+01, -1.5727037031e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0891500000e+09, -4.2024090000e-04, -4.9802570000e-02, -2.6054655693e+01, -1.5792342634e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
